source_url,normalized_target,intent,candidate_path,reason,referring_domains_reported,export_http_code,redirect_enabled
https://temporary123.com/,https://temporary123.com/,preserve,/,Retain the homepage if this is a same-domain replacement.,541,403,False
https://www.temporary123.com/,https://temporary123.com/,preserve,/,Retain the homepage if this is a same-domain replacement.,292,301,False
https://temporary123.com/houston-texas-mobile-kitchen-rental/,https://temporary123.com/houston-texas-mobile-kitchen-rental/,investigate,/services/mobile-kitchens/,"Candidate by topic only; verify old content, coverage and final brand/domain before redirecting.",8,403,False
https://www.temporary123.com/houston-texas-mobile-kitchen-rental/,https://temporary123.com/houston-texas-mobile-kitchen-rental/,investigate,/services/mobile-kitchens/,"Candidate by topic only; verify old content, coverage and final brand/domain before redirecting.",7,301,False
http://temporary123.com/,https://temporary123.com/,preserve,/,Retain the homepage if this is a same-domain replacement.,6,301,False
https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-california/,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-california/,investigate,/services/restroom-shower-trailers/,"Candidate by topic only; verify old content, coverage and final brand/domain before redirecting.",6,301,False
https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-california/,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-california/,investigate,/services/restroom-shower-trailers/,"Candidate by topic only; verify old content, coverage and final brand/domain before redirecting.",5,200,False
https://temporary123.com/temporary-workforce-housing-facilities/,https://temporary123.com/temporary-workforce-housing-facilities/,investigate,/services/workforce-housing/,"Candidate by topic only; verify old content, coverage and final brand/domain before redirecting.",4,403,False
https://www.temporary123.com/temporary-workforce-housing-facilities/,https://temporary123.com/temporary-workforce-housing-facilities/,investigate,/services/workforce-housing/,"Candidate by topic only; verify old content, coverage and final brand/domain before redirecting.",4,301,False
http://www.temporary123.com/,https://temporary123.com/,preserve,/,Retain the homepage if this is a same-domain replacement.,3,403,False
https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-alabama/,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-alabama/,investigate,/services/restroom-shower-trailers/,"Candidate by topic only; verify old content, coverage and final brand/domain before redirecting.",2,301,False
https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-alaska/,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-alaska/,investigate,/services/restroom-shower-trailers/,"Candidate by topic only; verify old content, coverage and final brand/domain before redirecting.",2,403,False
https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-alberta-ca/,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-alberta-ca/,investigate,/services/restroom-shower-trailers/,"Candidate by topic only; verify old content, coverage and final brand/domain before redirecting.",2,301,False
https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-arizona/,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-arizona/,investigate,/services/restroom-shower-trailers/,"Candidate by topic only; verify old content, coverage and final brand/domain before redirecting.",2,301,False
https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-arkansas/,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-arkansas/,investigate,/services/restroom-shower-trailers/,"Candidate by topic only; verify old content, coverage and final brand/domain before redirecting.",2,301,False
https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-colorado/,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-colorado/,investigate,/services/restroom-shower-trailers/,"Candidate by topic only; verify old content, coverage and final brand/domain before redirecting.",2,301,False
https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-connecticut/,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-connecticut/,investigate,/services/restroom-shower-trailers/,"Candidate by topic only; verify old content, coverage and final brand/domain before redirecting.",2,301,False
https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-delaware/,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-delaware/,investigate,/services/restroom-shower-trailers/,"Candidate by topic only; verify old content, coverage and final brand/domain before redirecting.",2,301,False
https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-district-of-columbia/,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-district-of-columbia/,investigate,/services/restroom-shower-trailers/,"Candidate by topic only; verify old content, coverage and final brand/domain before redirecting.",2,301,False
https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-florida/,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-florida/,investigate,/services/restroom-shower-trailers/,"Candidate by topic only; verify old content, coverage and final brand/domain before redirecting.",2,403,False
https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-georgia/,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-georgia/,investigate,/services/restroom-shower-trailers/,"Candidate by topic only; verify old content, coverage and final brand/domain before redirecting.",2,403,False
https://www.temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-hawaii/,https://temporary123.com/equipment-rental/restroom-trailers/portable-restroom-trailers-in-hawaii/,investigate,/services/restroom-shower-trailers/,"Candidate by topic only; verify old content, coverage and final brand/domain before redirecting.",2,301,False
